action,close,open,high,low,volume,price,time,macd_line,macd_signal,macd_histogram,rsi_14,vwap,action_quality
hold,143.64999389648438,143.0,144.38999938964844,142.4949951171875,570633,143.64999389648438,2026-04-08 13:30:00+00:00,0.0,0.0,0.0,50.0,143.64999389648438,neutral
hold,143.70159912109375,143.63999938964844,144.25999450683594,143.3000030517578,114918,143.70159912109375,2026-04-08 13:31:00+00:00,0.0,0.0,0.0,50.0,143.658644411474,neutral
hold,144.35000610351562,143.7449951171875,144.42999267578125,143.69000244140625,72594,144.35000610351562,2026-04-08 13:32:00+00:00,0.0,0.0,0.0,50.0,143.72484376736512,good
hold,144.75,144.27000427246094,144.8000030517578,144.13999938964844,46243,144.75,2026-04-08 13:33:00+00:00,0.0,0.0,0.0,50.0,143.78377838556645,good
hold,144.82000732421875,144.5050048828125,145.44000244140625,144.5050048828125,178124,144.82000732421875,2026-04-08 13:34:00+00:00,0.0,0.0,0.0,50.0,143.97164096990997,good
hold,145.32000732421875,144.82000732421875,145.8699951171875,144.82000732421875,102522,145.32000732421875,2026-04-08 13:35:00+00:00,0.0,0.0,0.0,50.0,144.09904454931527,neutral
hold,145.6300048828125,145.42999267578125,145.83999633789062,145.1999969482422,86830,145.6300048828125,2026-04-08 13:36:00+00:00,0.0,0.0,0.0,50.0,144.2124820179614,neutral
hold,144.66000366210938,145.72999572753906,145.85000610351562,144.57000732421875,102515,144.66000366210938,2026-04-08 13:37:00+00:00,0.0,0.0,0.0,50.0,144.24848204726968,good
hold,145.01499938964844,144.63499450683594,145.125,144.4801025390625,42701,145.01499938964844,2026-04-08 13:38:00+00:00,0.0,0.0,0.0,50.0,144.27333327653207,neutral
hold,144.19500732421875,145.01499938964844,145.1199951171875,144.1199951171875,96419,144.19500732421875,2026-04-08 13:39:00+00:00,0.0,0.0,0.0,50.0,144.26799042875072,good
hold,144.57000732421875,144.1999969482422,144.63499450683594,144.08999633789062,45700,144.57000732421875,2026-04-08 13:40:00+00:00,0.0,0.0,0.0,50.0,144.277449160646,neutral
hold,144.18499755859375,144.60000610351562,144.74000549316406,143.90020751953125,46831,144.18499755859375,2026-04-08 13:41:00+00:00,0.0,0.0,0.0,50.0,144.27457431686753,good
hold,144.3000030517578,144.24000549316406,144.44000244140625,144.1199951171875,37707,144.3000030517578,2026-04-08 13:42:00+00:00,0.0,0.0,0.0,50.0,144.2751954338755,good
hold,144.1750030517578,144.17599487304688,144.3300018310547,144.0800018310547,36881,144.1750030517578,2026-04-08 13:43:00+00:00,0.0,0.0,0.0,50.0,144.2728576171197,good
hold,143.97999572753906,144.19500732421875,144.30999755859375,143.91000366210938,44955,143.97999572753906,2026-04-08 13:44:00+00:00,0.0,0.0,0.0,53.10150780288711,144.2647585614353,good
hold,143.8350067138672,143.97000122070312,144.1300048828125,143.30999755859375,88962,143.8350067138672,2026-04-08 13:45:00+00:00,0.0,0.0,0.0,51.58742321590512,144.24246004675734,good
hold,144.0,143.8800048828125,144.0399932861328,143.33349609375,63158,144.0,2026-04-08 13:46:00+00:00,0.0,0.0,0.0,53.221983522377165,144.23384590942703,good
hold,144.1699981689453,143.97999572753906,144.4499969482422,143.80999755859375,58259,144.1699981689453,2026-04-08 13:47:00+00:00,0.0,0.0,0.0,54.91115790587048,144.23181987306404,good
hold,144.02999877929688,144.1699981689453,144.27000427246094,143.86000061035156,40014,144.02999877929688,2026-04-08 13:48:00+00:00,0.0,0.0,0.0,53.20715890493511,144.2275150673021,good
hold,143.88999938964844,144.02999877929688,144.0800018310547,143.69000244140625,49798,143.88999938964844,2026-04-08 13:49:00+00:00,0.0,0.0,0.0,51.48653066681357,144.21878730745416,good
hold,143.63999938964844,143.85440063476562,144.0,143.63999938964844,92365,143.63999938964844,2026-04-08 13:50:00+00:00,0.0,0.0,0.0,48.47208652357344,144.19229755083896,good
hold,143.44000244140625,143.63999938964844,143.63999938964844,143.25999450683594,49021,143.44000244140625,2026-04-08 13:51:00+00:00,0.0,0.0,0.0,46.144521600496496,144.17445740447343,good
