action,close,open,high,low,volume,price,time,macd_line,macd_signal,macd_histogram,rsi_14,vwap,action_quality
hold,154.97500610351562,155.9199981689453,156.52999877929688,154.60000610351562,173070,154.97500610351562,2026-04-16 13:30:00+00:00,0.0,0.0,0.0,50.0,154.97500610351562,good
hold,153.8800048828125,155.11500549316406,155.11500549316406,153.80999755859375,35154,153.8800048828125,2026-04-16 13:31:00+00:00,0.0,0.0,0.0,50.0,154.7901394555183,good
hold,153.55999755859375,154.14999389648438,154.14999389648438,153.3800048828125,11560,153.55999755859375,2026-04-16 13:32:00+00:00,0.0,0.0,0.0,50.0,154.72543756489637,good
hold,154.57000732421875,153.55999755859375,154.75999450683594,153.41000366210938,16406,154.57000732421875,2026-04-16 13:33:00+00:00,0.0,0.0,0.0,50.0,154.7146412207304,good
hold,155.50990295410156,154.52000427246094,155.50990295410156,154.52000427246094,16441,155.50990295410156,2026-04-16 13:34:00+00:00,0.0,0.0,0.0,50.0,154.7663961445456,neutral
hold,155.0,155.2100067138672,155.55999755859375,155.0,80494,155.0,2026-04-16 13:35:00+00:00,0.0,0.0,0.0,50.0,154.8228425497717,good
hold,154.1199951171875,154.9199981689453,155.12510681152344,154.09620666503906,5391,154.1199951171875,2026-04-16 13:36:00+00:00,0.0,0.0,0.0,50.0,154.81164942888802,good
hold,154.2050018310547,154.10000610351562,154.47999572753906,153.8300018310547,22320,154.2050018310547,2026-04-16 13:37:00+00:00,0.0,0.0,0.0,50.0,154.77412441923366,good
hold,154.02000427246094,154.2050018310547,154.66000366210938,153.94000244140625,9068,154.02000427246094,2026-04-16 13:38:00+00:00,0.0,0.0,0.0,50.0,154.75563756456074,good
hold,154.2899932861328,154.2949981689453,154.33999633789062,154.02000427246094,5084,154.2899932861328,2026-04-16 13:39:00+00:00,0.0,0.0,0.0,50.0,154.74932446784425,good
hold,155.0,154.2899932861328,155.0,153.92999267578125,12882,155.0,2026-04-16 13:40:00+00:00,0.0,0.0,0.0,50.0,154.75764994340366,good
hold,154.25,155.11000061035156,155.19000244140625,154.25,20005,154.25,2026-04-16 13:41:00+00:00,0.0,0.0,0.0,50.0,154.73275129279307,good
hold,154.43499755859375,154.43499755859375,154.63999938964844,154.3300018310547,3835,154.43499755859375,2026-04-16 13:42:00+00:00,0.0,0.0,0.0,50.0,154.72997777363966,good
hold,154.17999267578125,154.44000244140625,154.48500061035156,154.17999267578125,6635,154.17999267578125,2026-04-16 13:43:00+00:00,0.0,0.0,0.0,50.0,154.72125494648913,good
hold,154.6199951171875,154.3249969482422,154.6300048828125,154.32000732421875,6017,154.6199951171875,2026-04-16 13:44:00+00:00,0.0,0.0,0.0,47.67505536058327,154.71981919024114,good
hold,154.59500122070312,154.77000427246094,155.0399932861328,154.3699951171875,19259,154.59500122070312,2026-04-16 13:45:00+00:00,0.0,0.0,0.0,47.5075679120529,154.714400444791,good
hold,154.92999267578125,154.60000610351562,155.0399932861328,154.60000610351562,7084,154.92999267578125,2026-04-16 13:46:00+00:00,0.0,0.0,0.0,50.040888832621306,154.7177890368065,good
hold,154.67999267578125,154.9600067138672,154.9600067138672,154.47500610351562,11949,154.67999267578125,2026-04-16 13:47:00+00:00,0.0,0.0,0.0,48.17243207856848,154.71681286731936,good
hold,154.875,154.55499267578125,154.99249267578125,154.3800048828125,3997,154.875,2026-04-16 13:48:00+00:00,0.0,0.0,0.0,49.74859758792009,154.7181677855973,neutral
hold,154.78500366210938,154.67999267578125,154.94000244140625,154.59010314941406,3592,154.78500366210938,2026-04-16 13:49:00+00:00,0.0,0.0,0.0,49.00785841407424,154.71867831838236,neutral
hold,154.7100067138672,154.8699951171875,155.08999633789062,154.69000244140625,13319,154.7100067138672,2026-04-16 13:50:00+00:00,0.0,0.0,0.0,48.36162590601193,154.7184394718631,neutral
hold,154.53500366210938,154.99630737304688,154.99630737304688,154.5,12563,154.53500366210938,2026-04-16 13:51:00+00:00,0.0,0.0,0.0,46.81047919221451,154.7137944649033,good
hold,154.0050048828125,154.52999877929688,154.63999938964844,153.8300018310547,29411,154.0050048828125,2026-04-16 13:52:00+00:00,0.0,0.0,0.0,42.37744867572978,154.6741278951557,good
hold,153.75,154.0050048828125,154.19000244140625,153.58999633789062,34420,153.75,2026-04-16 13:53:00+00:00,0.0,0.0,0.0,40.39525407669724,154.61732257089582,good
hold,153.63999938964844,153.7550048828125,154.10989379882812,153.49000549316406,23074,153.63999938964844,2026-04-16 13:54:00+00:00,0.0,0.0,0.0,39.53616672823826,154.57864402076274,neutral
hold,153.8249969482422,153.49000549316406,153.85000610351562,153.36000061035156,22557,153.8249969482422,2026-04-16 13:55:00+00:00,-0.1998015689529211,0.0,-0.1998015689529211,41.778727684621295,154.55057205585126,neutral
hold,154.22000122070312,153.8699951171875,154.27000427246094,153.71499633789062,12730,154.22000122070312,2026-04-16 13:56:00+00:00,-0.1850935832937068,0.0,-0.1850935832937068,46.353897653628216,154.54376621559223,neutral
hold,154.3000030517578,154.3800048828125,154.5299072265625,154.10000610351562,58426,154.3000030517578,2026-04-16 13:57:00+00:00,-0.1650789916726296,0.0,-0.1650789916726296,47.25789226132847,154.52272114145006,neutral
hold,154.50999450683594,154.36000061035156,154.67999267578125,154.27999877929688,12119,154.50999450683594,2026-04-16 13:58:00+00:00,-0.1307653466450347,0.0,-0.1307653466450347,49.65596349210124,154.52249724452312,neutral
hold,155.07249450683594,154.66000366210938,155.27000427246094,154.60000610351562,13816,155.07249450683594,2026-04-16 13:59:00+00:00,-0.0575194384707913,0.0,-0.0575194384707913,55.49354774107501,154.5333112477737,good
buy,155.1999969482422,155.0749969482422,155.47999572753906,155.00999450683594,16567,155.1999969482422,2026-04-16 14:00:00+00:00,0.0106935839257289,0.0,0.0106935839257289,56.71863420686926,154.54866760339615,neutral
hold,155.3800048828125,155.1649932861328,155.38499450683594,155.10000610351562,9513,155.3800048828125,2026-04-16 14:01:00+00:00,0.0783745782029541,0.0,0.0783745782029541,58.45722394220628,154.5595196441821,good
hold,155.4199981689453,155.5,155.7884063720703,155.38499450683594,19008,155.4199981689453,2026-04-16 14:02:00+00:00,0.1336981882461145,0.0,0.1336981882461145,58.8526976781918,154.58139276464854,good
