action,close,open,high,low,volume,price,time,macd_line,macd_signal,macd_histogram,rsi_14,vwap,action_quality
hold,162.23500061035156,162.23500061035156,162.23500061035156,162.23500061035156,51917,162.23500061035156,2026-04-17 13:30:00+00:00,0.0,0.0,0.0,50.0,162.23500061035156,neutral
hold,162.77999877929688,161.85000610351562,163.39999389648438,161.5050048828125,517114,162.77999877929688,2026-04-17 13:32:00+00:00,0.0,0.0,0.0,50.0,162.730274476162,neutral
hold,163.0,162.9499969482422,163.36000061035156,162.44000244140625,43475,163.0,2026-04-17 13:33:00+00:00,0.0,0.0,0.0,50.0,162.74941929621087,neutral
hold,163.00999450683594,162.72000122070312,163.5,162.72000122070312,9570,163.00999450683594,2026-04-17 13:34:00+00:00,0.0,0.0,0.0,50.0,162.7534279780531,neutral
hold,164.07000732421875,163.3000030517578,164.1999969482422,163.22999572753906,41908,164.07000732421875,2026-04-17 13:35:00+00:00,0.0,0.0,0.0,50.0,162.8365251720203,good
hold,163.63499450683594,164.02999877929688,164.1300048828125,163.58749389648438,17347,163.63499450683594,2026-04-17 13:36:00+00:00,0.0,0.0,0.0,50.0,162.85685456779277,good
hold,163.60000610351562,163.85000610351562,163.9499969482422,163.49000549316406,9429,163.60000610351562,2026-04-17 13:37:00+00:00,0.0,0.0,0.0,50.0,162.866998721812,good
hold,163.8350067138672,163.4199981689453,163.92999267578125,163.35000610351562,11235,163.8350067138672,2026-04-17 13:38:00+00:00,0.0,0.0,0.0,50.0,162.88249109681573,good
hold,163.9261016845703,163.8800048828125,164.27000427246094,163.8300018310547,31895,163.9261016845703,2026-04-17 13:39:00+00:00,0.0,0.0,0.0,50.0,162.9278466128964,good
hold,163.53500366210938,163.8976287841797,163.8976287841797,163.42999267578125,19963,163.53500366210938,2026-04-17 13:40:00+00:00,0.0,0.0,0.0,50.0,162.9439249148643,neutral
hold,163.56500244140625,163.52999877929688,163.7100067138672,163.35000610351562,21921,163.56500244140625,2026-04-17 13:41:00+00:00,0.0,0.0,0.0,50.0,162.96147466577028,neutral
hold,163.3000030517578,163.56500244140625,163.61000061035156,162.89999389648438,24827,163.3000030517578,2026-04-17 13:42:00+00:00,0.0,0.0,0.0,50.0,162.97197258450748,neutral
hold,163.36500549316406,163.01499938964844,163.5800018310547,163.01499938964844,8863,163.36500549316406,2026-04-17 13:43:00+00:00,0.0,0.0,0.0,50.0,162.97627598857414,neutral
hold,163.48500061035156,163.38999938964844,163.65989685058594,163.1999969482422,8796,163.48500061035156,2026-04-17 13:44:00+00:00,0.0,0.0,0.0,50.0,162.9817445948523,neutral
hold,162.5449981689453,163.43499755859375,163.43499755859375,162.36160278320312,48987,162.5449981689453,2026-04-17 13:45:00+00:00,0.0,0.0,0.0,53.489234827770986,162.95707469439037,good
hold,161.85499572753906,162.61000061035156,162.67999267578125,161.77000427246094,33147,161.85499572753906,2026-04-17 13:46:00+00:00,0.0,0.0,0.0,45.823927969627576,162.9165028874767,good
hold,162.0399932861328,162.0500030517578,162.0500030517578,161.75999450683594,21778,162.0399932861328,2026-04-17 13:47:00+00:00,0.0,0.0,0.0,47.97652421233214,162.89580324999253,good
hold,162.30999755859375,161.84500122070312,162.5,161.81500244140625,22106,162.30999755859375,2026-04-17 13:48:00+00:00,0.0,0.0,0.0,51.0345035642351,162.88208925833533,good
hold,162.1999969482422,162.4600067138672,162.61000061035156,162.10499572753906,16954,162.1999969482422,2026-04-17 13:49:00+00:00,0.0,0.0,0.0,49.7514347903742,162.8700586631977,good
hold,162.3249969482422,162.30999755859375,162.77999877929688,162.24000549316406,18623,162.3249969482422,2026-04-17 13:50:00+00:00,0.0,0.0,0.0,51.25128810510458,162.8596992892928,good
hold,161.91000366210938,162.32000732421875,162.7899932861328,161.90750122070312,25925,161.91000366210938,2026-04-17 13:51:00+00:00,0.0,0.0,0.0,46.30922408325876,162.83521992090732,good
